event_start,event_end,event_peak,event_peak_D_s-1,event_peak_D_1e5_s-1,duration_hours
2000-12-10 08:00:00,2000-12-11 01:00:00,2000-12-10 16:00:00,-3.092792511985179e-05,-3.092792511985179,18
2000-12-25 01:00:00,2000-12-25 13:00:00,2000-12-25 07:00:00,-3.414970936481278e-05,-3.414970936481278,13
2001-12-04 22:00:00,2001-12-05 04:00:00,2001-12-05 01:00:00,-2.916594921143368e-05,-2.916594921143368,7
2001-12-20 21:00:00,2001-12-21 14:00:00,2001-12-21 06:00:00,-3.851886166773449e-05,-3.851886166773449,18
2001-12-23 16:00:00,2001-12-23 21:00:00,2001-12-23 19:00:00,-2.9543623827833105e-05,-2.9543623827833105,6
2002-12-09 15:00:00,2002-12-10 03:00:00,2002-12-09 20:00:00,-3.0244535885986123e-05,-3.0244535885986124,13
2002-12-25 02:00:00,2002-12-25 09:00:00,2002-12-25 05:00:00,-3.0872787841152646e-05,-3.0872787841152647,8
2002-12-31 22:00:00,2002-12-31 23:00:00,2002-12-31 23:00:00,-2.7198620392481358e-05,-2.719862039248136,2
2003-12-18 14:00:00,2003-12-19 18:00:00,2003-12-18 23:00:00,-3.910486078004416e-05,-3.9104860780044155,29
2003-12-26 02:00:00,2003-12-26 11:00:00,2003-12-26 07:00:00,-2.9529093922622783e-05,-2.952909392262278,10
2004-12-26 18:00:00,2004-12-26 21:00:00,2004-12-26 19:00:00,-2.681189123076326e-05,-2.681189123076326,4
2004-12-28 20:00:00,2004-12-29 04:00:00,2004-12-29 01:00:00,-2.9814248354878058e-05,-2.9814248354878057,9
2004-12-31 04:00:00,2004-12-31 09:00:00,2004-12-31 06:00:00,-2.77320786389036e-05,-2.77320786389036,6
2005-12-04 01:00:00,2005-12-04 12:00:00,2005-12-04 05:00:00,-3.845510743935324e-05,-3.845510743935324,12
2005-12-07 04:00:00,2005-12-07 20:00:00,2005-12-07 12:00:00,-2.9561258399826588e-05,-2.9561258399826587,17
2005-12-11 22:00:00,2005-12-12 07:00:00,2005-12-12 02:00:00,-3.130867170549021e-05,-3.1308671705490214,10
2005-12-17 02:00:00,2005-12-17 11:00:00,2005-12-17 07:00:00,-3.0397668135432445e-05,-3.0397668135432445,10
2005-12-21 11:00:00,2005-12-21 16:00:00,2005-12-21 13:00:00,-2.7281968436749337e-05,-2.7281968436749335,6
2006-12-27 18:00:00,2006-12-28 14:00:00,2006-12-28 01:00:00,-3.391715269670544e-05,-3.391715269670544,21
2007-12-03 06:00:00,2007-12-03 21:00:00,2007-12-03 14:00:00,-4.0020962320708864e-05,-4.002096232070887,16
2008-12-04 18:00:00,2008-12-04 22:00:00,2008-12-04 20:00:00,-2.9977692001874058e-05,-2.9977692001874057,5
2008-12-20 21:00:00,2008-12-22 02:00:00,2008-12-21 06:00:00,-4.106219240415563e-05,-4.106219240415563,30
2009-12-10 23:00:00,2009-12-11 06:00:00,2009-12-11 03:00:00,-3.1334363675234453e-05,-3.1334363675234456,8
2009-12-13 18:00:00,2009-12-14 09:00:00,2009-12-14 03:00:00,-4.0748608973965923e-05,-4.074860897396593,16
2009-12-30 17:00:00,2009-12-31 05:00:00,2009-12-31 00:00:00,-3.367078023106539e-05,-3.367078023106539,13
2010-12-03 02:00:00,2010-12-03 13:00:00,2010-12-03 10:00:00,-3.3151959429815897e-05,-3.31519594298159,12
2010-12-14 09:00:00,2010-12-14 18:00:00,2010-12-14 13:00:00,-2.9585810182547856e-05,-2.958581018254786,10
2010-12-31 22:00:00,2010-12-31 23:00:00,2010-12-31 23:00:00,-2.9199820487962087e-05,-2.9199820487962085,2
2011-12-07 15:00:00,2011-12-08 07:00:00,2011-12-07 23:00:00,-3.0358002190072142e-05,-3.035800219007214,17
2012-12-05 15:00:00,2012-12-06 04:00:00,2012-12-05 21:00:00,-4.1327625503310205e-05,-4.13276255033102,14
2012-12-07 15:00:00,2012-12-08 01:00:00,2012-12-07 20:00:00,-3.6025783011599916e-05,-3.6025783011599914,11
2012-12-08 23:00:00,2012-12-08 23:00:00,2012-12-08 23:00:00,-2.582385135865568e-05,-2.582385135865568,1
2012-12-14 17:00:00,2012-12-15 01:00:00,2012-12-14 21:00:00,-3.7102760420541935e-05,-3.7102760420541934,9
2012-12-22 23:00:00,2012-12-23 17:00:00,2012-12-23 05:00:00,-4.5694012502627026e-05,-4.569401250262702,19
2012-12-30 15:00:00,2012-12-30 20:00:00,2012-12-30 17:00:00,-2.7690578552084286e-05,-2.7690578552084286,6
2013-12-09 15:00:00,2013-12-09 19:00:00,2013-12-09 17:00:00,-3.010422054757753e-05,-3.010422054757753,5
2013-12-11 02:00:00,2013-12-11 17:00:00,2013-12-11 08:00:00,-3.87762130930333e-05,-3.87762130930333,16
2013-12-12 18:00:00,2013-12-13 00:00:00,2013-12-12 21:00:00,-3.1665658456409415e-05,-3.1665658456409416,7
2014-12-13 09:00:00,2014-12-13 09:00:00,2014-12-13 09:00:00,-2.5875562163706284e-05,-2.5875562163706283,1
2014-12-16 05:00:00,2014-12-17 11:00:00,2014-12-16 23:00:00,-4.3622682613064384e-05,-4.362268261306438,31
2014-12-31 18:00:00,2014-12-31 23:00:00,2014-12-31 23:00:00,-4.249348949624276e-05,-4.2493489496242765,6
2016-12-21 21:00:00,2016-12-22 07:00:00,2016-12-22 02:00:00,-3.643194726642782e-05,-3.6431947266427818,11
2017-12-04 14:00:00,2017-12-05 11:00:00,2017-12-05 02:00:00,-3.6861538775293644e-05,-3.6861538775293643,22
2017-12-16 03:00:00,2017-12-16 13:00:00,2017-12-16 06:00:00,-2.7956341718433838e-05,-2.7956341718433837,11
2017-12-24 13:00:00,2017-12-24 18:00:00,2017-12-24 15:00:00,-2.918963519442836e-05,-2.918963519442836,6
2018-12-05 22:00:00,2018-12-06 11:00:00,2018-12-06 04:00:00,-3.6752521130577266e-05,-3.6752521130577267,14
